Product                ;emoji ;Soort    ;Januari ;Februari ;Maart ;April ;Mei ;Juni ;Juli ;Augustus ;September ;Oktober ;November ;December ;Lokaal ;Follicular ;Ovulatory ;Luteal ;Menstrual ;FODMAP ;FODMAP-light ;Dirty-Fifteen
Aardappelen            ;🥔    ;Groente  ;      1 ;       1 ;    1 ;    1 ;  1 ;   1 ;   1 ;       1 ;        1 ;      1 ;       1 ;       1 ;     1 ;           ;          ;       ;          ;     2 ;             ;
Aardpeer               ;🥔    ;Groente  ;      1 ;       1 ;    1 ;      ;    ;     ;     ;         ;          ;      1 ;       1 ;       1 ;     1 ;           ;          ;       ;          ;     0 ;             ;
Andijvie               ;🥬    ;Groente  ;        ;         ;      ;    1 ;  1 ;   1 ;   1 ;       1 ;        1 ;      1 ;       1 ;       1 ;     1 ;           ;          ;       ;          ;     2 ;             ;
Artisjok               ;🥦    ;Groente  ;        ;         ;      ;      ;  1 ;   1 ;   1 ;       1 ;        1 ;      1 ;         ;         ;     1 ;           ;          ;       ;          ;     0 ;             ;
Asperges               ;🥦    ;Groente  ;        ;         ;    1 ;    1 ;  1 ;   1 ;     ;         ;          ;        ;         ;         ;     1 ;           ;        1 ;       ;          ;       ;             ;
Aubergine              ;🍆    ;Groente  ;        ;         ;    1 ;    1 ;  1 ;   1 ;   1 ;       1 ;        1 ;      1 ;         ;         ;     1 ;           ;          ;       ;          ;     1 ;             ;
Augurken               ;🥒    ;Groente  ;        ;         ;      ;      ;    ;     ;   1 ;       1 ;        1 ;        ;         ;         ;     1 ;         1 ;          ;       ;          ;       ;             ;
Bimi                   ;🥦    ;Groente  ;        ;         ;      ;    1 ;  1 ;   1 ;   1 ;       1 ;        1 ;      1 ;         ;         ;     1 ;           ;        1 ;       ;          ;       ;             ;
Bleekselderij          ;🥦    ;Grroente ;        ;       1 ;    1 ;    1 ;  1 ;   1 ;   1 ;       1 ;        1 ;      1 ;       1 ;       1 ;     1 ;           ;          ;       ;        1 ;     1 ;             ;
Bloemkool              ;🥦    ;Groente  ;        ;         ;      ;      ;  1 ;   1 ;   1 ;       1 ;        1 ;      1 ;       1 ;         ;     1 ;           ;          ;     1 ;        1 ;     0 ;             ;
Boerenkool             ;🥬    ;Groente  ;      1 ;       1 ;    1 ;      ;    ;     ;     ;         ;          ;      1 ;       1 ;       1 ;     1 ;         1 ;        1 ;     1 ;        1 ;     2 ;             ;
Bosui                  ;🧅    ;Groente  ;        ;         ;      ;      ;  1 ;   1 ;   1 ;       1 ;        1 ;      1 ;         ;         ;     1 ;           ;          ;       ;          ;     0 ;             ;
Bospeen                ;🥕    ;Groente  ;        ;         ;      ;      ;  1 ;   1 ;   1 ;       1 ;        1 ;      1 ;         ;         ;     1 ;           ;          ;       ;          ;     2 ;             ;
Broccoli               ;🥦    ;Groente  ;        ;         ;      ;      ;  1 ;   1 ;   1 ;       1 ;        1 ;      1 ;         ;         ;     1 ;           ;        1 ;     1 ;        1 ;     1 ;             ;
Champignons            ;🍄    ;Groente  ;      1 ;       1 ;    1 ;    1 ;  1 ;   1 ;   1 ;       1 ;        1 ;      1 ;       1 ;       1 ;     1 ;         1 ;        1 ;       ;          ;     0 ;             ;
Chinese kool           ;🥬    ;Groente  ;        ;         ;      ;      ;    ;     ;   1 ;       1 ;        1 ;      1 ;       1 ;         ;     1 ;           ;          ;     1 ;        1 ;     2 ;             ;
Courgette              ;🥒    ;Groente  ;        ;         ;      ;      ;  1 ;   1 ;   1 ;       1 ;        1 ;      1 ;         ;         ;     1 ;           ;          ;       ;          ;     1 ;             ;
