Aardappelen:				🥔
Aardpeer:				🥔
Andijvie:				🥬
Artisjok:				🥦
Asperges:				🥦
Aubergine:				🍆
Augurken:				🥒
Bimi:				🥦
Bleekselderij:				🥦
Bloemkool:				🥦
Boerenkool:				🥬
Bosui:				🧅
Bospeen:				🥕
Broccoli:				🥦
Champignons:				🍄
Chinese kool:				🥬
Courgette:				🥒
Doperwten:				🥗
Kikkererwten:				🥗
Knoflook:				🧄
Knolselderij:				🥦
Komkommer:				🥒
Koolraap:				🥦
Koolrabi:				🥦
Lente-ui:				🧅
Mais:				🌽
Paksoi:				🥬
Paprika:				🌶️
Pastinaak:				🥕
Peultjes:				🥗
Pompoen:				🎃
Prei:				🥬
Rabarber:				🥗
Radijs:				🥕
Rammenas:				🥕
Rode biet:				🥕
Rode kool:				🥬
Savooiekool:				🥬
Schorseneren:				🥦
Shiitake:				🍄
Snijbiet:				🥬
Snijbonen:				🥗
Sopropo:				🥗
Sperziebonen:				🥗
Spinazie:				🥬
Spitskool:				🥬
Spliterwten (gedroogd):				🥗
Spruitjes:				🥦
Stoofperen:				🍐
Sugar snaps:				🥗
Tauge:				🥗
Tomaat:				🍅
Tuinbonen:				🥗
Ui:				🧅
Rode ui:				🧅
Venkel:				🥦
Witlof:				🥬
Witte bonen:				🥗
Witte kool:				🥬
Wortels:				🥕
Zuurkool:				🥬
Zoete aardappel:				🍠
Aardbeien:				🍓
Ananas:				🍍
Blauwe bessen:				🫐
Bramen:				🫐
Cranberries:				🫐
Druiven:				🍇
Frambozen:				🫐
Galiameloen:				🍈
Kersen:				🍒
Mango:				🥭
Rode bessen:				🫐
Watermeloen:				🍉
Olijven:				🫒
Abrikoos:				🍑
Appel:				🍎
Avocado:				🥑
Banaan:				🍌
Grapefruit:				🍊
Citroen:				🍋
Kaki:				🥝
Kiwi:				🥝
Mandarijn:				🍊
Nectarine:				🍑
Sinaasappel:				🍊
Lychee:				🥝
Limoen:				🍋
Peer:				🍐
Perzik:				🍑
Pruim:				🍑
Vijgen:				🍑
Dadels:				🥭
Peer:				🍐
Perzik:				🍑
Pruim:				🍑
Vijgen:				🍑
Dadels:				🥭
